Latest: Wavelength (nm),Latest: Intensity (rel)
659.1,0.024742377
659.9,0.02502806
660.6,0.024368531
661.4,0.02420492
662.1,0.023748845
662.9,0.023965014
663.6,0.023886176
664.4,0.023631011
665.1,0.023335156
665.9,0.02288671
666.6,0.02252558
667.4,0.02273412
668.1,0.022509473
668.9,0.022734968
669.7,0.02270445
670.4,0.022785831
671.2,0.023159677
672,0.022371294
672.7,0.0220712
673.5,0.02126332
674.2,0.021786365
675,0.022163602
675.8,0.022109348
676.5,0.021966083
677.3,0.021575282
678.1,0.021760086
678.8,0.021559175
679.6,0.021249756
680.4,0.021098014
681.1,0.021432865
681.9,0.021352331
682.7,0.020922535
683.4,0.01991883
684.2,0.019720463
685,0.019928155
685.7,0.01971792
686.5,0.019716225
687.2,0.019684859
688,0.020482567
688.8,0.020560557
689.5,0.020246052
690.3,0.01995613
691.1,0.020018014
691.8,0.020139239
692.6,0.01983321
693.4,0.019279647
694.1,0.018573493
694.9,0.018468376
695.7,0.018876978
696.4,0.019157575
697.2,0.018901562
698,0.018461594
698.7,0.018490416
699.5,0.018591296
