Latest: Wavelength (nm),Latest: Intensity (rel)
659.1,0.017938167
659.9,0.018134839
660.6,0.017487178
661.4,0.0176652
662.1,0.017682155
662.9,0.017406644
663.6,0.017160805
664.4,0.017153175
665.1,0.017625357
665.9,0.017562626
666.6,0.017593991
667.4,0.018133991
668.1,0.017666048
668.9,0.017799988
669.7,0.016806456
670.4,0.017081119
671.2,0.016607241
672,0.016807304
672.7,0.016993803
673.5,0.016562312
674.2,0.01713283
675,0.017292202
675.8,0.017282029
676.5,0.017163348
677.3,0.016474149
678.1,0.01711418
678.8,0.016730161
679.6,0.017131982
680.4,0.016909879
681.1,0.017236252
681.9,0.017279486
682.7,0.017347304
683.4,0.01672677
684.2,0.016913269
685,0.016711511
685.7,0.016995499
686.5,0.016717445
687.2,0.016107932
688,0.016495342
688.8,0.016191857
689.5,0.016717445
690.3,0.016337665
691.1,0.016621653
691.8,0.016607241
692.6,0.016067241
693.4,0.015623034
694.1,0.015869722
694.9,0.016482626
695.7,0.016758984
696.4,0.016517383
697.2,0.016474149
698,0.016450412
698.7,0.0166598
699.5,0.016408026
