Latest: Wavelength (nm),Latest: Intensity (rel)
659.1,0.01690102
659.9,0.017653798
660.6,0.017597848
661.4,0.017841993
662.1,0.017851318
662.9,0.017801302
663.6,0.017341836
664.4,0.016544128
665.1,0.01679675
665.9,0.016955274
666.6,0.017010376
667.4,0.016903563
668.1,0.016686546
668.9,0.01633135
669.7,0.016150785
670.4,0.016361868
671.2,0.016851852
672,0.017185007
672.7,0.017084128
673.5,0.017137535
674.2,0.016904411
675,0.017112103
675.8,0.016812857
676.5,0.016718759
677.3,0.016265227
678.1,0.016445792
678.8,0.016164348
679.6,0.015811695
680.4,0.015747268
681.1,0.016514458
681.9,0.017349466
682.7,0.017574112
683.4,0.01708328
684.2,0.016362715
685,0.016234709
685.7,0.016338979
686.5,0.016272857
687.2,0.016007519
688,0.016114332
688.8,0.015807457
689.5,0.015751507
690.3,0.0156608
691.1,0.016329654
691.8,0.016677221
692.6,0.017018853
693.4,0.016443249
694.1,0.015892229
694.9,0.015456499
695.7,0.015695557
696.4,0.016147394
697.2,0.016303375
698,0.016205039
698.7,0.016294898
699.5,0.01602956
