W,I
644.2,0.029722837
644.9,0.029540576
645.7,0.029532947
646.4,0.029388834
647.2,0.028990404
647.9,0.029123496
648.7,0.029366793
649.4,0.029550749
650.2,0.029216746
650.9,0.028747955
651.7,0.028533481
652.4,0.028382586
653.2,0.028369022
653.9,0.028234234
654.7,0.027713732
655.4,0.027136433
656.2,0.026815993
656.9,0.026972822
657.7,0.026982147
658.4,0.026655773
659.1,0.026232759
659.9,0.026420954
660.6,0.026911786
661.4,0.027302586
662.1,0.027478913
662.9,0.026839729
663.6,0.025847893
664.4,0.024841645
665.1,0.024548333
665.9,0.025045947
666.6,0.025244314
667.4,0.024973042
668.1,0.02462378
668.9,0.024277909
669.7,0.025077312
670.4,0.025147673
671.2,0.025435899
672,0.024326229
672.7,0.023537847
673.5,0.02303006
674.2,0.023879479
675,0.024334707
675.8,0.023586167
676.5,0.022883404
677.3,0.022403593
678.1,0.022796089
678.8,0.02312331
679.6,0.022919009
680.4,0.023013954
681.1,0.022288302
681.9,0.02224083
682.7,0.022201834
683.4,0.021784755
684.2,0.022023813
685,0.021373609
685.7,0.021523656
686.5,0.020780202
687.2,0.020263091
688,0.020507235
688.8,0.020784441
689.5,0.021084535
690.3,0.020840391
691.1,0.020377534
691.8,0.020462306
692.6,0.01978667
693.4,0.020271568
694.1,0.019656969
694.9,0.019752761
695.7,0.019244127
696.4,0.019630689
697.2,0.019710375
698,0.019572196
698.7,0.019565415
699.5,0.01966036
700.2,0.019564567
701,0.019307707
701.8,0.019080517
702.5,0.018957597
703.3,0.019324661
704.1,0.019527267
704.8,0.019436561
705.6,0.018337911
706.4,0.017837754
707.2,0.017981019
708,0.018621051
708.8,0.018689716
709.6,0.018310784
710.4,0.018417597
711.2,0.018001365
712.1,0.018269245
712.9,0.017859795
713.7,0.018238727
714.5,0.017981019
715.3,0.01799204
716.2,0.017829277
717,0.017995431
717.8,0.017558005
718.6,0.017580894
719.4,0.017558005
720.3,0.017367268
721.1,0.018072574
721.9,0.017739418
722.7,0.018172605
723.5,0.017305384
724.4,0.017683469
725.2,0.017913202
726,0.017552919
726.8,0.017018853
727.6,0.016832354
728.5,0.017258759
729.3,0.0177835
730.1,0.017303688
730.9,0.017203657
731.7,0.016634835
732.6,0.016172825
733.4,0.016240643
734.2,0.016635682
735,0.017572417
735.8,0.01716551
736.7,0.01721383
737.5,0.016763689
738.3,0.016707739
739.1,0.016781491
739.9,0.017029874
740.8,0.017167205
741.6,0.016648398
742.4,0.017079042
743.2,0.017504599
744,0.017205353
744.9,0.017140078
745.7,0.016481397
746.5,0.016578037
747.3,0.016429686
748.1,0.016526326
748.9,0.016964599
749.8,0.016942558
750.6,0.017038351
751.4,0.017188398
752.2,0.01645766
753,0.016713673
753.9,0.016394081
754.7,0.016791663
755.5,0.016978163
756.3,0.016984097
757.1,0.016968838
758,0.016382213
758.8,0.016631444
759.6,0.01706124
760.4,0.017112103
761.2,0.016936624
762.1,0.016356781
