fluoorescent2: Wavelength (nm),fluoorescent2: Intensity (rel),LED1: Intensity (rel),LED2: Intensity (rel),incandescent1: Intensity (rel),incandescent2: Intensity (rel),fluorescent1: Intensity (rel)
681.8,0.021019048,0.027841611,0.023138781,0.104047286,0.106813916,0.021263235
682.5,0.020968185,0.026657342,0.023248137,0.102875732,0.106774921,0.0214065
683.3,0.021129252,0.027442334,0.023131999,0.102535795,0.105308359,0.021477709
684,0.021158075,0.027553385,0.023528734,0.101453252,0.103553572,0.021649797
684.8,0.021226741,0.027746666,0.022980257,0.101274383,0.102790621,0.021484491
685.5,0.021189441,0.02733213,0.02281156,0.100950552,0.102382866,0.021974475
686.3,0.022180429,0.026506447,0.022847164,0.100786942,0.102557497,0.02251617
687.1,0.023264668,0.02618516,0.023048074,0.0995179,0.101200292,0.022767096
687.8,0.023608843,0.026206353,0.023808482,0.098792248,0.101188423,0.022478023
688.6,0.022722972,0.026195332,0.023267635,0.098566754,0.100587388,0.021294601
689.3,0.021764197,0.026029179,0.02277426,0.099314446,0.100639946,0.020767317
690.1,0.020718107,0.025655333,0.02159762,0.099179658,0.100577215,0.020490111
690.8,0.020537541,0.025164501,0.021269551,0.099218653,0.100251689,0.021174224
691.6,0.020195909,0.025079728,0.021245814,0.098619313,0.099540449,0.020791901
692.4,0.021207243,0.024883904,0.021610335,0.098438748,0.099273416,0.021348007
693.1,0.021407306,0.025345066,0.022278342,0.098802421,0.100104185,0.021864271
693.9,0.021593805,0.024782177,0.022408043,0.098430271,0.101142646,0.021568416
694.6,0.020837636,0.024282021,0.021651026,0.098298873,0.100500072,0.02067661
695.4,0.020042471,0.023935302,0.02138145,0.097780914,0.098891941,0.020105245
696.1,0.019201529,0.024079415,0.021484025,0.097767351,0.099044531,0.019674601
696.9,0.018954842,0.023597908,0.021623051,0.098134415,0.099477718,0.019677992
697.7,0.018837856,0.02331392,0.021852784,0.098085247,0.100781516,0.018917584
698.4,0.018693743,0.022886668,0.021166128,0.098874478,0.099681171,0.019422827
699.2,0.018908217,0.023272382,0.021192408,0.099589108,0.100533133,0.019527945
699.9,0.019116757,0.023525004,0.020537118,0.099661165,0.100154201,0.019918746
700.7,0.019560964,0.023732696,0.020833821,0.10014352,0.101992065,0.019600002
701.4,0.020033994,0.023464815,0.020436238,0.100282546,0.100855268,0.019092215
