Wavelength (nm),I
643.4,0.018652318
644.2,0.019011752
644.9,0.019126478
645.7,0.018999036
646.4,0.019164908
647.2,0.018974452
647.9,0.019091721
648.7,0.018724939
649.4,0.018815363
650.2,0.018733982
650.9,0.019008644
651.7,0.018776085
652.4,0.018694704
653.2,0.018332726
653.9,0.018819602
654.7,0.0187645
655.4,0.019017969
656.2,0.01866136
656.9,0.018684531
657.7,0.018496619
658.4,0.018427953
659.1,0.01802585
659.9,0.018063997
660.6,0.017920732
661.4,0.018032349
662.1,0.018143401
662.9,0.017841894
663.6,0.017912255
664.4,0.017740167
665.1,0.017963684
665.9,0.01828045
666.6,0.018040544
667.4,0.018164029
668.1,0.017736211
668.9,0.017537561
669.7,0.017209775
670.4,0.017361235
671.2,0.017728299
672,0.017596619
672.7,0.017662459
673.5,0.017426792
674.2,0.01760877
675,0.017341737
675.8,0.01704136
676.5,0.016922114
677.3,0.016705662
678.1,0.017138849
678.8,0.016904877
679.6,0.017236337
680.4,0.017059445
681.1,0.01715326
681.9,0.016700576
682.7,0.016835364
683.4,0.017015364
684.2,0.016968456
685,0.016909116
685.7,0.01669012
686.5,0.016723747
687.2,0.016302428
688,0.016469712
688.8,0.016231219
689.5,0.01648158
690.3,0.016588676
691.1,0.017112287
691.8,0.016854579
692.6,0.016679383
693.4,0.016235458
694.1,0.01589326
694.9,0.016006573
695.7,0.016037091
696.4,0.016440325
697.2,0.016112538
698,0.016218504
698.7,0.016144469
699.5,0.016280105
700.2,0.016390874
701,0.016616368
701.8,0.016303558
702.5,0.015811031
703.3,0.015703653
704.1,0.015939885
704.8,0.015943276
705.6,0.015741518
706.4,0.016036526
707.2,0.016314296
708,0.016259194
708.8,0.016193072
709.6,0.016426196
710.4,0.016360073
711.2,0.016161423
712.1,0.01611932
712.9,0.015818943
713.7,0.015753669
714.5,0.015463182
715.3,0.015758755
716.2,0.015950906
717,0.016002617
717.8,0.0161764
718.6,0.015917844
719.4,0.016238284
720.3,0.01609304
721.1,0.016456714
721.9,0.016327012
722.7,0.016577091
723.5,0.016200984
724.4,0.015750843
725.2,0.015542868
726,0.015307201
726.8,0.015744344
727.6,0.015898629
728.5,0.016069869
729.3,0.015977468
730.1,0.016008551
730.9,0.01622359
731.7,0.016149838
732.6,0.015991314
733.4,0.016021267
734.2,0.016425348
735,0.016434108
735.8,0.015830529
736.7,0.015799446
737.5,0.015749147
738.3,0.015932538
739.1,0.015764972
739.9,0.015978598
740.8,0.015934516
741.6,0.015695741
742.4,0.015920953
743.2,0.016312883
744,0.016216808
744.9,0.015966447
745.7,0.015711848
746.5,0.015861895
747.3,0.01587122
748.1,0.01598538
748.9,0.015984814
749.8,0.015918409
750.6,0.015742648
751.4,0.015711282
752.2,0.015901455
753,0.016360921
753.9,0.016311188
754.7,0.015864438
755.5,0.015628771
756.3,0.015895521
757.1,0.016232632
758,0.015930278
758.8,0.015798033
759.6,0.015464595
760.4,0.015833355
761.2,0.01556067
762.1,0.015911345
762.9,0.015861329
763.7,0.01614899
764.5,0.016065348
765.3,0.016033417
766.2,0.015863873
767,0.015894956
767.8,0.015897782
768.6,0.016035678
769.4,0.015926322
770.3,0.015725976
771.1,0.015695176
771.9,0.015545976
772.7,0.015625945
773.5,0.01571326
774.4,0.01572089
775.2,0.015698001
776,0.015795207
776.8,0.015836463
777.6,0.016085411
778.5,0.01575932
779.3,0.015999226
780.1,0.015954014
